Date,Open,High,Low,Close,Adj Close,Volume
"Sep 26, 2025",428.30,440.47,421.02,440.40,440.40,101628200
"Sep 25, 2025",435.24,435.35,419.08,423.39,423.39,96746400
"Sep 24, 2025",429.83,444.21,429.03,442.79,442.79,93133600
"Sep 23, 2025",439.88,440.97,423.72,425.85,425.85,83422700
"Sep 22, 2025",431.11,444.98,429.13,434.21,434.21,97108800
"Sep 19, 2025",421.82,429.47,421.72,426.07,426.07,93131000
"Sep 18, 2025",428.87,432.22,416.56,416.85,416.85,90454500
"Sep 17, 2025",415.75,428.31,409.67,425.86,425.86,106133500
"Sep 16, 2025",414.50,423.25,411.43,421.62,421.62,104285700
"Sep 15, 2025",423.13,425.70,402.43,410.04,410.04,163823700
"Sep 12, 2025",370.94,396.69,370.24,395.94,395.94,168156400
"Sep 11, 2025",350.17,368.99,347.60,368.81,368.81,103756000
"Sep 10, 2025",350.55,356.33,346.07,347.79,347.79,72121700
"Sep 9, 2025",348.44,350.77,343.82,346.97,346.97,53816000
"Sep 8, 2025",354.64,358.44,344.84,346.40,346.40,75208300
"Sep 5, 2025",348.00,355.87,344.68,350.84,350.84,108989800
"Sep 4, 2025",336.15,338.89,331.48,338.53,338.53,60711000
"Sep 3, 2025",335.20,343.33,328.51,334.09,334.09,88733300
"Sep 2, 2025",328.23,333.33,325.60,329.36,329.36,58392000
"Aug 29, 2025",347.23,348.75,331.70,333.87,333.87,81145700
"Aug 28, 2025",350.91,353.55,340.26,345.98,345.98,67903200
"Aug 27, 2025",351.94,355.39,349.16,349.60,349.60,65519000
"Aug 26, 2025",344.93,351.90,343.72,351.67,351.67,76651600
"Aug 25, 2025",338.90,349.53,335.03,346.60,346.60,86670000
"Aug 22, 2025",321.66,340.25,319.69,340.01,340.01,94016300
"Aug 21, 2025",322.08,324.90,318.68,320.11,320.11,55744400
"Aug 20, 2025",329.22,331.37,314.60,323.90,323.90,77481800
"Aug 19, 2025",335.79,340.55,327.85,329.31,329.31,75956000
"Aug 18, 2025",329.62,336.27,329.59,335.16,335.16,56956600
"Aug 15, 2025",337.66,339.30,327.02,330.56,330.56,74319800
"Aug 14, 2025",335.76,340.47,330.40,335.58,335.58,75000700
"Aug 13, 2025",341.50,348.98,338.20,339.38,339.38,67838900
"Aug 12, 2025",345.00,345.26,332.94,340.84,340.84,80522100
"Aug 11, 2025",335.00,346.64,334.15,339.03,339.03,105320200
"Aug 8, 2025",321.43,335.15,320.98,329.65,329.65,91200300
"Aug 7, 2025",319.79,322.40,316.16,322.27,322.27,66658700
"Aug 6, 2025",307.89,320.47,306.93,319.91,319.91,78523600
"Aug 5, 2025",308.95,312.45,305.50,308.72,308.72,57961300
"Aug 4, 2025",309.08,312.12,303.00,309.26,309.26,78683900
"Aug 1, 2025",306.21,309.31,297.82,302.63,302.63,89121400
"Jul 31, 2025",319.61,321.37,306.10,308.27,308.27,85270900
"Jul 30, 2025",322.18,324.45,311.62,319.04,319.04,83931900
"Jul 29, 2025",325.55,326.25,318.25,321.20,321.20,87358900
"Jul 28, 2025",318.45,330.49,315.69,325.59,325.59,112673800
"Jul 25, 2025",308.74,323.63,308.01,316.06,316.06,148227000
"Jul 24, 2025",310.00,310.15,300.41,305.30,305.30,156966000
"Jul 23, 2025",330.90,336.20,328.67,332.56,332.56,92553800
"Jul 22, 2025",329.74,335.41,321.55,332.11,332.11,77370400
"Jul 21, 2025",334.40,338.00,326.88,328.49,328.49,75768800
"Jul 18, 2025",321.66,330.90,321.42,329.65,329.65,94255000
"Jul 17, 2025",323.15,324.34,317.06,319.41,319.41,73922900
"Jul 16, 2025",312.80,323.50,312.62,321.67,321.67,97284800
"Jul 15, 2025",319.68,321.20,310.50,310.78,310.78,77556300
